company_name,market_cap,sector,country,industry,isin,symbol
BILLERUD AKTIEBOLAG,2462488151,Process industries,Sweden,Pulp & paper,SE0000862997,PROT.OL
PROTECTOR FORSIKRING ASA,2462248569,Finance,Norway,Property/Casualty insurance,NO0010209331,DLN.L
DERWENT LONDON ORD GBP0.05,2451577743,Finance,United Kingdom,Real estate investment trusts,GB0002652740,INPP.L
INTERNATIONAL PUBLIC PARTNERSHIP ORD GBP0.0001,2448177647,Finance,United Kingdom,Investment managers,GB00B188SR50,CPS.WA
CYFRPLSAT,2430320050,Consumer services,Poland,Cable/Satellite TV,PLCFRPT00013,TCAP.L
TP ICAP GROUP PLC ORD GBP0.25,2419891128,Finance,United Kingdom,Investment banks/Brokers,JE00BMDZN391,SNN.RO
S.N. NUCLEARELECTRICA S.A.,2402357689,Utilities,Romania,Electric utilities,ROSNNEACNOR8,CLDN.L
CALEDONIA INVESTMENTS ORD GBP0.05,2393144942,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB0001639920,SZU.DE
SUEDZUCKER AG,2386902736,Consumer non-durables,Germany,Food: specialty/candy,DE0007297004,BEKN.SW
BEKB / BCBE N,2383986507,Finance,Switzerland,Regional banks,CH0009691608,ELPE.AT
HELLENIQ ENERGY HOLD.SOC.ANON.,2383954563,Energy minerals,Greece,Oil refining/Marketing,GRS298343005,TRI.PA
TRIGANO,2383283409,Consumer durables,France,Motor vehicles,FR0005691656,TENERGY.AT
TERNA ENERGY S.A. (CR),2379210445,Utilities,Greece,Electric utilities,GRS496003005,MOBN.SW
MOBIMO N,2367347894,Finance,Switzerland,Real estate development,CH0011108872,TECN.SW
TECAN GROUP AG N,2354008681,Health technology,Switzerland,Medical specialties,CH0012100191,RSW.L
RENISHAW PLC ORD GBP0.20,2353159638,Producer manufacturing,United Kingdom,Industrial machinery,GB0007323586,GN.CO
GN STORE NORD A/S,2342846234,Electronic technology,Denmark,Telecommunications equipment,DK0010272632,TRUE-B.ST
TRUECALLER AB SER. B,2338994080,Technology services,Sweden,Packaged software,SE0016787071,VCT.PA
VICAT,2327113013,Non-energy minerals,France,Construction materials,FR0000031775,CATE.ST
CATENA AB,2327064764,Finance,Sweden,Real estate development,SE0001664707,NVG.LS
THE NAVIGATOR COMP,2326990974,Process industries,Portugal,Pulp & paper,PTPTI0AM0006,OLT.OL
OLAV THON EIENDOMSSELSKAP,2319858501,Finance,Norway,Real estate development,NO0005638858,MELE.BR
MELEXIS,2318960149,Electronic technology,Belgium,Semiconductors,BE0165385973,COFB.BR
COFINIMMO,2315752791,Finance,Belgium,Real estate investment trusts,BE0003593044,RCO.PA
REMY COINTREAU,2310830786,Consumer non-durables,France,Beverages: alcoholic,FR0000130395,BURE.ST
BURE EQUITY AB,2305973341,Finance,Sweden,Financial conglomerates,SE0000195810,OCI.AS
OCI N.V.,2297677042,Process industries,Netherlands,Chemicals: agricultural,NL0010558797,HVPE.L
HARBOURVEST GBL PRIVATE EQUITY LTD ORD NPV (USD),2296018258,Finance,United Kingdom,Investment managers,GG00BR30MJ80,FABG.ST
FABEGE AB,2292433375,Finance,Sweden,Real estate development,SE0011166974,CAN.L
CANAL PLUS SA ORD EUR 0.25 (CDI),2288841461,Consumer services,France,Cable/Satellite TV,FR001400T0D6,MING.OL
SPAREBANK 1 SMN,2282960152,Finance,Norway,Savings banks,NO0006390301,UMI.BR
UMICORE,2278256990,Non-energy minerals,Belgium,Other metals/Minerals,BE0974320526,SRAIL.SW
STADLER RAIL N,2275844000,Producer manufacturing,Switzerland,Trucks/Construction/Farm machinery,CH0002178181,CPI.VI
CPI EUROPE AG,2273813452,Finance,Austria,Real estate development,AT0000A21KS2,CAI.VI
CA IMMOBILIEN ANLAGEN AG,2256046983,Finance,Austria,Real estate development,AT0000641352,NOD.OL
NORDIC SEMICONDUCTOR,2248232853,Electronic technology,Norway,Semiconductors,NO0003055501,TGYM.MI
TECHNOGYM,2244801541,Consumer durables,Italy,Recreational products,IT0005162406,APAM.AS
APERAM,2240387993,Non-energy minerals,Luxembourg,Steel,LU0569974404,SDF.DE
K+S AG NA O.N.,2238750076,Process industries,Germany,Chemicals: specialty,DE000KSAG888,SGBAF
SES,2226649485,Communications,Luxembourg,Specialty telecommunications,LU0088087324,ALTA.PA
ALTAREA,2223793110,Finance,France,Real estate development,FR0000033219,ELUX-A.ST
"ELECTROLUX, AB SER. A",2215821221,Consumer durables,Sweden,Electronics/Appliances,SE0016589170,NOS.LS
"NOS, SGPS, SA",2215194019,Communications,Portugal,Major telecommunications,PTZON0AM0006,IWG.L
INTERNATIONAL WORKPLACE GROUP PLC ORD USD0.0124,2214273831,Commercial services,Switzerland,Miscellaneous commercial services,JE00BYVQYS01,KALMAR.HE
KALMAR OYJ B,2209595994,Producer manufacturing,Finland,Industrial machinery,FI4000571054,BCHN.SW
BURCKHARDT N,2208111170,Producer manufacturing,Switzerland,Industrial machinery,CH0025536027,JAM.L
JPMORGAN AMERICAN INVESTMENT TRUST ORD GBP0.05,2206258819,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BKZGVH64,DNLM.L
DUNELM GROUP PLC ORD GBP0.01,2204652556,Retail trade,United Kingdom,Specialty stores,GB00B1CKQ739,EMBRAC-B.ST
EMBRACER GROUP AB SER. B,2203524872,Technology services,Sweden,Packaged software,SE0023615885,CEM.MI
CEMENTIR HOLDING,2196453283,Non-energy minerals,Italy,Construction materials,NL0013995087,ANIM.MI
ANIMA HOLDING,2192085504,Finance,Italy,Investment managers,IT0004998065,SSON.L
SMITHSON INVESTMENT TRUST PLC ORD GBP0.01,2190858934,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BGJWTR88,ALM.MC
ALMIRALL S.A.,2187131912,Health technology,Spain,Pharmaceuticals: major,ES0157097017,HMS.ST
HMS NETWORKS AB,2185873002,Technology services,Sweden,Information technology services,SE0009997018,GRG.L
GREGGS ORD GBP0.02,2185173535,Consumer non-durables,United Kingdom,Food: specialty/candy,GB00B63QSB39,PCO.WA
PEPCO,2183268647,Retail trade,United Kingdom,Specialty stores,NL0015000AU7,DAE.SW
DAETWYLER I,2182293177,Producer manufacturing,Switzerland,Miscellaneous manufacturing,CH0030486770,VGP.BR
VGP,2172388487,Finance,Belgium,Real estate investment trusts,BE0003878957,STOR-B.ST
STORSKOGEN GROUP AB SER. B,2171233468,Finance,Sweden,Financial conglomerates,SE0016797732,PEAB-B.ST
PEAB AB SER. B,2169851907,Industrial services,Sweden,Engineering & construction,SE0000106205,BYG.L
BIG YELLOW GROUP ORD GBP0.10,2165886329,Finance,United Kingdom,Real estate investment trusts,GB0002869419,ROO.L
DELIVEROO PLC ORD GBP0.005,2159144534,Technology services,United Kingdom,Packaged software,GB00BNC5T391,TEM.L
TEMPLETON EMERGING MKTS INV TRUST ORD GBP0.05,2155564070,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BKPG0S09,TIETO.HE
TIETOEVRY CORPORATION,2149622100,Technology services,Finland,Information technology services,FI0009000277,PROX.BR
PROXIMUS,2149115367,Communications,Belgium,Major telecommunications,BE0003810273,BFT.WA
BENEFIT,2139449855,Consumer services,Poland,Movies/Entertainment,PLBNFTS00018,DMP.DE
DERMAPHARM HLDG SE,2137448047,Health technology,Germany,Pharmaceuticals: major,DE000A2GS5D8,TRIG.L
THE RENEWABLES INFRASTRUCTURE GRP ORD NPV,2114973272,Finance,United Kingdom,Investment managers,GG00BBHX2H91,MFEA.MI
MFE A,2113757246,Consumer services,Italy,Broadcasting,NL0015001OI1,POST.VI
OESTERREICHISCHE POST AG,2111020088,Transportation,Austria,Air freight/Couriers,AT0000APOST4,VIT-B.ST
VITEC SOFTWARE GROUP AB SER. B,2100971847,Technology services,Sweden,Packaged software,SE0007871363,TEG.DE
TAG IMMOBILIEN AG,2100929719,Finance,Germany,Real estate development,DE0008303504,WIZZ.L
WIZZ AIR HLDGS PLC ORD GBP0.0001,2096056466,Transportation,United Kingdom,Airlines,JE00BN574F90,VLK.AS
V LANSCHOT KEMPEN,2080719964,Finance,Netherlands,Investment managers,NL0000302636,VITR.ST
VITROLIFE AB,2077543185,Health technology,Sweden,Medical specialties,SE0011205202,UNBL.PA
UNIBEL,2073970721,Consumer non-durables,France,Food: meat/fish/dairy,FR0000054215,SON.LS
SONAE,2072000027,Technology services,Portugal,Information technology services,PTSON0AM0001,KOJAMO.HE
KOJAMO PLC,2071070177,Finance,Finland,Real estate development,FI4000312251,GFTU.L
GRAFTON GROUP PLC UT (1 ORD EUR0.05) (CDI),2068126486,Retail trade,Ireland,Home improvement chains,IE00B00MZ448,AJB.L
AJ BELL PLC ORD GBP0.000125,2063566605,Finance,United Kingdom,Investment managers,GB00BFZNLB60,TXGN.SW
TX GROUP N,2059986351,Consumer services,Switzerland,Publishing: newspapers,CH0011178255,SPOL.OL
SPAREBANK 1 OSTLANDET,2059426774,Finance,Norway,Savings banks,NO0010751910,MVV1.DE
MVV ENERGIE AG,2056292189,Utilities,Germany,Electric utilities,DE000A0H52F5,AOF.DE
ATOSS SOFTWARE SE,2055090409,Electronic technology,Germany,Electronic components,DE0005104400,MRC.L
MERCANTILE INVESTMENT TST PLC(THE) ORD GBP0.025,2054784055,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BF4JDH58,TPE.WA
TAURONPE,2048849013,Utilities,Poland,Electric utilities,PLTAURN00011,SOLV.BR
SOLVAC NOM(RETAIL),2043452885,Process industries,Belgium,Chemicals: specialty,BE0003545531,RAT.L
RATHBONES GROUP PLC ORD GBP0.05,2042553701,Finance,United Kingdom,Investment managers,GB0002148343,OSB.L
OSB GROUP PLC ORD GBP0.01,2041699564,Finance,United Kingdom,Major banks,GB00BLDRH360,BETS-B.ST
BETSSON AB SER. B,2039296138,Consumer services,Sweden,Casinos/Gaming,SE0022726485,ASMDEE-B.ST
ASMODEE GROUP AB SER. B,2036499035,Consumer durables,Sweden,Recreational products,SE0023615638,KTY.WA
KETY,2031578101,Non-energy minerals,Poland,Aluminum,PLKETY000011,MTRS.ST
MUNTERS GROUP AB,2026758833,Producer manufacturing,Sweden,Industrial machinery,SE0009806607,AFRY.ST
AFRY AB,2024607463,Commercial services,Sweden,Miscellaneous commercial services,SE0005999836,ARYN.SW
ARYZTA N,2017911493,Retail trade,Switzerland,Food retail,CH0043238366,DOFG.OL
DOF GROUP ASA,2015992099,Energy minerals,Norway,Oil refining/Marketing,NO0012851874,ALLEI.ST
ALLEIMA AB,2011909747,Non-energy minerals,Sweden,Steel,SE0017615644,HUFV-A.ST
HUFVUDSTADEN AB SER. A,2008536713,Finance,Sweden,Real estate development,SE0000170375,KARN.SW
KARDEX N,2001414835,Electronic technology,Switzerland,Computer peripherals,CH0100837282,SOI.PA
SOITEC,2000438202,Electronic technology,France,Electronic components,FR0013227113,QTCOM.HE
QT GROUP OYJ,1999276657,Technology services,Finland,Packaged software,FI4000198031,ANTIN.PA
ANTIN INFRASTRUCTURE PARTNERS,1992629287,Finance,France,Investment managers,FR0014005AL0,CENER.BR
CENERGY,1991452916,Producer manufacturing,Belgium,Electrical products,BE0974303357,VATN.SW
VALIANT N,1984218038,Finance,Switzerland,Regional banks,CH0014786500,CRL.MI
CAREL INDUSTRIES,1981532656,Producer manufacturing,Italy,Industrial machinery,IT0005331019,SCHO.CO
SCHOUW & CO. A/S,1981039270,Process industries,Denmark,Agricultural commodities/Milling,DK0010253921,TMV.F
TEAMVIEWER SE,1974634231,Technology services,Germany,Internet software/Services,DE000A2YN900,ENA.WA
ENEA,1969779535,Utilities,Poland,Electric utilities,PLENEA000013,XTB.WA
XTB,1969406962,Finance,Poland,Investment banks/Brokers,PLXTRDM00011,EKTA-B.ST
ELEKTA AB SER. B,1965233450,Health technology,Sweden,Medical specialties,SE0000163628,ENAV.MI
ENAV,1960319061,Transportation,Italy,Other transportation,IT0005176406,FEV.L
FIDELITY EUROPEAN TRUST PLC ORD GBP0.025,1956320707,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BK1PKQ95,BONEX.ST
BONESUPPORT HOLDING AB,1952479222,Health technology,Sweden,Medical specialties,SE0009858152,INRN.SW
INTERROLL N,1952015412,Producer manufacturing,Switzerland,Industrial machinery,CH0006372897,BREE.L
BREEDON GRP PLC ORD GBP0.01,1945490546,Non-energy minerals,United Kingdom,Construction materials,GB00BM8NFJ84,BCGE.SW
BC GENEVE N,1945351556,Finance,Switzerland,Major banks,CH0350494719,B4B.DE
METRO AG,1939020874,Distribution services,Germany,Food distributors,DE000BFB0019,WKBN.SW
WALLISER KB N,1937393736,Finance,Switzerland,Regional banks,CH0305951201,DAN.MI
DANIELI & C,1933923678,Producer manufacturing,Italy,Industrial machinery,IT0000076502,JTC.L
JTC PLC ORD GBP0.01,1932560602,Finance,United Kingdom,Investment managers,JE00BF4X3P53,COTN.SW
COMET N,1932296264,Health technology,Switzerland,Medical specialties,CH0360826991,ES.PA
ESSO,1930757579,Energy minerals,France,Oil refining/Marketing,FR0000120669,VIMIAN.ST
VIMIAN GROUP AB,1927546175,Health technology,Sweden,Biotechnology,SE0015961982,SRP.L
SERCO GROUP PLC GBP0.02,1927537908,Commercial services,United Kingdom,Miscellaneous commercial services,GB0007973794,IPS.PA
IPSOS,1924577675,Commercial services,France,Miscellaneous commercial services,FR0000073298,DOC.VI
DO & CO AG,1924301732,Consumer services,Austria,Restaurants,AT0000818802,PNL.L
PERSONAL ASSETS TRUST PLC GBP0.125,1921250273,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BM8B5H06,ENOG.L
ENERGEAN PLC ORD GBP0.01,1919905658,Energy minerals,United Kingdom,Oil & gas production,GB00BG12Y042,KWS.F
KWS SAAT SE & CO. KGAA,1917299950,Commercial services,Germany,Miscellaneous commercial services,DE0007074007,PEUG.PA
PEUGEOT INVEST,1914428521,Finance,France,Financial conglomerates,FR0000064784,MYI.L
MURRAY INTERNATIONAL TRUST PLC ORD GBP0.05,1904225016,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BQZCCB79,WLN.PA
WORLDLINE,1898281409,Finance,France,Regional banks,FR0011981968,PFD.L
PREMIER FOODS ORD GBP0.10,1894522782,Consumer non-durables,United Kingdom,Food: specialty/candy,GB00B7N0K053,BCG.L
BALTIC CLASSIFIEDS GROUP PLC ORD GBP0.01,1889656947,Technology services,Lithuania,Internet software/Services,GB00BN44P254,KINV-A.ST
KINNEVIK AB SER. A,1888787989,Finance,Sweden,Financial conglomerates,SE0022060513,RHIM.VI
RHI MAGNESITA N.V. ORD EUR1.00 (DI),1879682705,Non-energy minerals,Austria,Other metals/Minerals,NL0012650360,KRU.WA
KRUK,1876432243,Commercial services,Poland,Miscellaneous commercial services,PLKRK0000010,JUST.L
JUST GROUP PLC ORD GBP0.10,1873996329,Finance,United Kingdom,Life/Health insurance,GB00BCRX1J15,BEKB.BR
BEKAERT,1869300309,Producer manufacturing,Belgium,Metal fabrication,BE0974258874,MGNS.L
MORGAN SINDALL GRP PLC ORD GBP0.05,1862346235,Industrial services,United Kingdom,Engineering & construction,GB0008085614,CAR.WA
INTERCARS,1853612091,Producer manufacturing,Poland,Auto parts: OEM,PLINTCS00010,ENTRA.OL
ENTRA ASA,1851213804,Finance,Norway,Real estate development,NO0010716418,HILS.L
HILL & SMITH PLC ORD GBP0.25,1848966514,Producer manufacturing,United Kingdom,Miscellaneous manufacturing,GB0004270301,PDX.ST
PARADOX INTERACTIVE AB,1841671987,Technology services,Sweden,Packaged software,SE0008294953,GEKTERNA.AT
GEK TERNA S.A.,1840581746,Industrial services,Greece,Engineering & construction,GRS145003000,CMBT.BR
CMB.TECH,1839794786,Transportation,Belgium,Marine shipping,BE0003816338,WWH.L
WORLDWIDE HEALTHCARE TRUST ORD GBP0.025,1839020699,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BN455J50,ATRLJ-B.ST
ATRIUM LJUNGBERG AB SER. B,1829251767,Finance,Sweden,Real estate development,SE0000191827,PAG.L
PARAGON BANKING GROUP PLC ORD GBP1,1823664715,Finance,United Kingdom,Regional banks,GB00B2NGPM57,AGR.L
ASSURA PLC ORD GBP0.10,1821005194,Finance,United Kingdom,Real estate investment trusts,GB00BVGBWW93,AUSS.OL
AUSTEVOLL SEAFOOD ASA,1808254489,Consumer non-durables,Norway,Food: meat/fish/dairy,NO0010073489,GRI.L
GRAINGER PLC ORD GBP0.05,1797851745,Finance,United Kingdom,Real estate development,GB00B04V1276,OEM-B.ST
OEM INTERNATIONAL AB SER. B,1790922492,Distribution services,Sweden,Wholesale distributors,SE0017766843,NETC.CO
NETCOMPANY GROUP A/S,1782835180,Technology services,Denmark,Information technology services,DK0060952919,SINCH.ST
SINCH AB,1776434918,Technology services,Sweden,Packaged software,SE0016101844,RENE.LS
REN,1771037418,Utilities,Portugal,Electric utilities,PTREL0AM0008,TGS.OL
TGS ASA,1769277957,Technology services,Norway,Data processing services,NO0003078800,ATT.L
ALLIANZ TECHNOLOGY TRUST PLC ORD GBP0.025,1766036344,Miscellaneous,United Kingdom,Investment trusts/Mutual funds,GB00BNG2M159,PLNW.PA
PLANISWARE,1764604906,Technology services,France,Packaged software,FR001400PFU4,EPRO-B.ST
ELECTROLUX PROFESSIONAL AB SER. B,1763378101,Distribution services,Sweden,Wholesale distributors,SE0013747870,MMT.PA
METROPOLE TV,1762718720,Consumer services,France,Broadcasting,FR0000053225,BRAV.ST
BRAVIDA HOLDING AB,1754136176,Industrial services,Sweden,Engineering & construction,SE0007491303,VEI.OL
VEIDEKKE,1753799254,Industrial services,Norway,Engineering & construction,NO0005806802,SKAN.SW
SKAN N,1749649336,Health technology,Switzerland,Medical specialties,CH0013396012,ISB.IC
ISLANDSBANKI HF.,1743195000,Finance,Iceland,Regional banks,IS0000028538,EXENS.PA
EXOSENS,1742349388,Electronic technology,France,Electronic production equipment,FR001400Q9V2,HEAD.L
HEADLAM GROUP PLC ORD GBP0.05,1740334554,Distribution services,United Kingdom,Wholesale distributors,GB0004170089,VAIAS.HE
VAISALA CORPORATION A,1736489529,Electronic technology,Finland,Electronic equipment/Instruments,FI0009900682,VAHN.SW
VAUDOISE ASSU N,1729145444,Finance,Switzerland,Multi-line insurance,CH0021545667,IVSO.ST
INVISIO AB,1717789025,Electronic technology,Sweden,Telecommunications equipment,SE0001200015,DUE.DE
DUERR AG,1716211526,Producer manufacturing,Germany,Industrial machinery,DE0005565204,FRVIA.PA
FORVIA,1713992166,Producer manufacturing,France,Auto parts: OEM,FR0000121147,UBI.PA
UBISOFT ENTERTAIN,1713428918,Technology services,France,Packaged software,FR0000054470,CADLR.OL
CADELER AS,1700272737,Producer manufacturing,Denmark,Trucks/Construction/Farm machinery,DK0061412772,CFT.SW
CIE FIN TR I,1697793019,Finance,Switzerland,Investment banks/Brokers,CH0014345117,OUT1V.HE
OUTOKUMPU OYJ,1689410362,Non-energy minerals,Finland,Steel,FI0009002422,MTO.L
MITIE GROUP ORD GBP0.025,1683629808,Commercial services,United Kingdom,Miscellaneous commercial services,GB0004657408,ALIF-B.ST
ADDLIFE AB SER. B,1683150161,Health services,Sweden,Medical/Nursing services,SE0014401378,BAVA.CO
BAVARIAN NORDIC A/S,1679922848,Health technology,Denmark,Pharmaceuticals: major,DK0015998017,EMEIS.PA
EMEIS,1678489575,Health services,France,Medical/Nursing services,FR001400NLM4,NBS.L
NATIONWIDE BUILDING SOCIETY CORE CAPITAL DEFERRED GBP1,1677738490,Finance,United Kingdom,Savings banks,GB00BBQ33664,NB2.MU
NORTHERN DATA AG,1665903847,Technology services,Germany,Data processing services,DE000A0SMU87,MMK.VI
MAYR-MELNHOF KARTON AG,1663999939,Process industries,Austria,Containers/Packaging,AT0000938204,EMBLA.CO
EMBLA MEDICAL HF,1663354257,Health technology,Iceland,Medical specialties,IS0000000040,PIN.L
